sam,date,loc,locnum,state,res,fftotal,estb,estg,estr,ests,pct_b,pct_g,pct_r,pct_s
N_2012-001_E_11,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_J_25,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_A_1,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_D_10,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_C_7,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_K_26,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_L_27,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_B_4,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_C_8,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_A_3,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_L_29,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_B_5,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_A_2,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_I_21,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_F_15,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_G_18,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_L_28,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_H_20,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_H_19,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_F_16,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_I_22,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_F_14,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_J_23,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_J_24,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_G_17,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_C_9,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_E_12,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_B_6,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-001_E_13,29/04/2012,Sydney CP,6,N,0,5535,135,5400,0,0,2.40,97.56,0.00,0.00
N_2012-002_F_18,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_E_16,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_M_38,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_D_11,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_M_39,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_G_21,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_I_27,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_P_,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_F_17,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_D_12,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_F_19,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_L_36,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_D_13,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_B_7,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_I_26,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_C_8,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_H_23,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_O_,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_K_33,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_L_35,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_J_30,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_G_22,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_C_10,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_E_14,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_A_4,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_N_41,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_K_32,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_L_37,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_G_20,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_A_2,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_J_31,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_H_25,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_H_24,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_E_15,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_K_34,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_C_9,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_M_40,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_B_6,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_I_28,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_A_1,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_A_3,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_J_29,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-002_B_5,5/05/2012,Singleton,10,N,0,50000,5000,35000,10000,0,10.00,70.00,20.00,0.00
N_2012-004_L_34,12/05/2012,Lismore,17,N,0,20000,1000,19000,0,0,5.00,95.00,0.00,0.00
N_2012-004_E_15,12/05/2012,Lismore,17,N,0,20000,1000,19000,0,0,5.00,95.00,0.00,0.00
N_2012-004_H_27,12/05/2012,Lismore,17,N,0,20000,1000,19000,0,0,5.00,95.00,0.00,0.00
N_2012-004_G_24,12/05/2012,Lismore,17,N,0,20000,1000,19000,0,0,5.00,95.00,0.00,0.00
N_2012-004_A_1,12/05/2012,Lismore,17,N,0,20000,1000,19000,0,0,5.00,95.00,0.00,0.00
